"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000107099.2",4.15901719046479e-08,0.566802197249724,0.15,0.115,0.000975039990132565,"2","ENSG00000107099"
"ENSG00000198586.1",4.23229300872516e-08,0.678530005751491,0.083,0.056,0.000992218772965527,"2","ENSG00000198586"
"ENSG00000163568.1",4.23467533409751e-08,-0.640522993693915,0.042,0.07,0.000992777285325819,"2","ENSG00000163568"
"ENSG00000109943.2",4.24351410371487e-08,1.19720342373312,0.024,0.011,0.000994849446474914,"2","ENSG00000109943"
"ENSG00000231389.1",4.37973455809881e-08,-0.223211553917635,0.278,0.338,0.00102678496980068,"2","ENSG00000231389"
"ENSG00000142102.2",4.38765663748522e-08,1.23372854510313,0.023,0.01,0.00102864222209204,"2","ENSG00000142102"
"ENSG00000148516.2",4.55939919996263e-08,0.843173449295156,0.086,0.06,0.00106890554843924,"2","ENSG00000148516"
"ENSG00000242290.1",4.7785080260146e-08,-3.50256500887294,0.001,0.012,0.00112027342161886,"2","ENSG00000242290"
"ENSG00000122705.1",4.80347075027758e-08,-0.351235845924054,0.12,0.163,0.00112612568269508,"2","ENSG00000122705"
"ENSG00000145730.2",4.83143864225303e-08,1.08524071379161,0.036,0.019,0.0011326824752898,"2","ENSG00000145730"
"ENSG00000184305.1",4.84514389153522e-08,1.14534759325918,0.039,0.022,0.00113589553393152,"2","ENSG00000184305"
"ENSG00000145649.2",4.96504143163891e-08,0.675637634858405,0.052,0.031,0.00116400431323342,"2","ENSG00000145649"
"ENSG00000092841.1",4.98332190372087e-08,-0.178017738022016,0.558,0.614,0.00116828998710832,"2","ENSG00000092841"
"ENSG00000100883.1",4.9846046914232e-08,-0.769365255825647,0.031,0.057,0.00116859072385725,"2","ENSG00000100883"
"ENSG00000111481.1",5.07328712487492e-08,-0.541970833605289,0.042,0.071,0.00118938143355568,"2","ENSG00000111481"
"ENSG00000232119.1",5.10475950234814e-08,-0.638029885647014,0.036,0.062,0.0011967598177305,"2","ENSG00000232119"
"ENSG00000149311.1",5.11633409586179e-08,0.585246516004116,0.118,0.087,0.00119947336543384,"2","ENSG00000149311"
"ENSG00000165283.1",5.12343695219858e-08,-0.574196420195527,0.062,0.094,0.00120113855907343,"2","ENSG00000165283"
"ENSG00000087586.1",5.13605797258829e-08,-1.03741556494659,0.022,0.044,0.0012040974310936,"2","ENSG00000087586"
"ENSG00000183684.1",5.13689698466955e-08,-0.656994723405886,0.043,0.071,0.00120429412908593,"2","ENSG00000183684"
"ENSG00000164405.1",5.21627168504068e-08,-0.41400316767653,0.162,0.207,0.00122290273384094,"2","ENSG00000164405"
"ENSG00000100580.1",5.34051988634429e-08,-0.71395647938296,0.024,0.047,0.00125203148215456,"2","ENSG00000100580"
"ENSG00000241106.1",5.34709943529289e-08,-0.733204060013336,0.028,0.052,0.00125357399161007,"2","ENSG00000241106"
"ENSG00000130816.1",5.44623814974936e-08,-0.416607698615405,0.093,0.132,0.00127681607182724,"2","ENSG00000130816"
"ENSG00000196199.1",5.44668313240062e-08,0.610219876813052,0.1,0.07,0.00127692039356,"2","ENSG00000196199"
"ENSG00000143977.1",5.48204288726833e-08,-0.579237706843748,0.054,0.085,0.00128521013449119,"2","ENSG00000143977"
"ENSG00000134779.1",5.63368744992738e-08,-0.869491225355418,0.029,0.053,0.00132076168576098,"2","ENSG00000134779"
"ENSG00000117523.1",5.85379839215848e-08,0.390130793589131,0.255,0.215,0.00137236449505763,"2","ENSG00000117523"
"ENSG00000137876.1",5.9662173269625e-08,-0.428115689094933,0.081,0.117,0.00139871999013309,"2","ENSG00000137876"
"ENSG00000163563.2",6.1937743198847e-08,1.16288092382505,0.017,0.007,0.00145206845155377,"2","ENSG00000163563"
"ENSG00000168916.1",6.23336168939073e-08,-1.17901845143954,0.015,0.035,0.00146134931446076,"2","ENSG00000168916"
"ENSG00000204257.1",6.32585773845678e-08,-0.454321247672061,0.088,0.125,0.00148303408820381,"2","ENSG00000204257"
"ENSG00000198624.1",6.46687349474509e-08,-0.434493996285918,0.088,0.125,0.00151609382210804,"2","ENSG00000198624"
